"","","Nombre","País","Fecha de nacimiento[5]","Edad","Creado por","Fecha de
nombramiento","Cargo"
"1",1,"Arthur Roche","Reino Unido Reino Unido","6 de marzo de 1950","72 años","Francisco","27/08/2022","Prefecto de la Congregación para el Culto Divino y la Disciplina de los Sacramentos
Arzobispo ad personam-obispo emérito de Leeds (Inglaterra)"
"2",2,"Lazzaro You Heung-sik","Corea del Sur Corea del Sur","17 de noviembre de 1951","70 años","Francisco","27/08/2022","Prefecto de la Congregación para el Clero
Arzobispo ad personam-obispo emérito de Daejeon (Corea del Sur)"
"3",3,"Fernando Vérgez Alzaga, L.C.","España España","1 de marzo de 1945","77 años","Francisco","27/08/2022","Presidente de la Comisión Pontificia para el Estado de la Ciudad del Vaticano y Presidente de la Gobernación del Estado de la Ciudad del Vaticano.
Arzobispo titular de Villamagna in Proconsulari"
"4",4,"Jean-Marc Aveline","Francia","26 de diciembre de 1958","63 años","Francisco","27/08/2022","Arzobispo metropolitano de Marsella (Francia)"
"5",5,"Peter Ebere Okpaleke","Nigeria Nigeria","1 de marzo de 1963","59 años","Francisco","27/08/2022","Obispo de Ekwulobia (Nigeria)"
"6",6,"Leonardo Ulrich Steiner, O.F.M.","Brasil Brasil","6 de noviembre de 1950","71 años","Francisco","27/08/2022","Arzobispo metropolitano de Manaus (Brasil)
Vicepresidente primero de la Conferencia Eclesial de la Amazonía (CEAMA)"
"7",7,"Filipe Neri António Sebastião do Rosário Ferrão","India","20 de enero de 1953","69 años","Francisco","27/08/2022","Arzobispo de Goa y Damán (India)
President de la Conferencia de Obispos Católicos de India (CCBI)"
"8",8,"Robert Walter McElroy","Estados Unidos","5 de febrero de 1954","68 años","Francisco","27/08/2022","Obispo de San Diego (EE. UU.)"
"9",9,"Virgílio do Carmo da Silva, S.D.B.","Timor Oriental Timor Oriental","27 de noviembre de 1967","54 años","Francisco","27/08/2022","Arzobispo de Dili (Timor Oriental)"
"10",10,"Oscar Cantoni","Italia Italia","1 de septiembre de 1950","71 años","Francisco","27/08/2022","Obispo de Como (Italia)"
"11",11,"Anthony Poola","India","15 de noviembre de 1961","60 años","Francisco","27/08/2022","Arzobispo de Hyderabad (India)"
"12",12,"Paulo Cezar Costa","Brasil Brasil","20 de julio de 1967","55 años","Francisco","27/08/2022","Arzobispo metropolitano de Brasília (Brasil)"
"13",13,"Richard Kuuia Baawobr, M. Afr.","Ghana Ghana","21 de junio de 1959","63 años","Francisco","27/08/2022","Obispo de Wa (Ghana)"
"14",14,"William Goh Seng Chye","Singapur Singapur","25 de junio de 1957","65 años","Francisco","27/08/2022","Arzobispo de Singapur (Singapur)"
"15",15,"Adalberto Martínez Flores","ParaguayParaguay","8 de julio de 1951","71 años","Francisco","27/08/2022","Arzobispo metropolitano de Asunción (Paraguay)
Presidente de la Conferencia Episcopal Paraguaya (CEP)"
"16",16,"Giorgio Marengo, I.M.C.","Mongolia","7 de junio de 1974","48 años","Francisco","27/08/2022","Prefecto apostólico de Ulán Bator (Mongolia)"
"17",17,"Jorge Enrique Jiménez Carvajal","Colombia Colombia","29 de marzo de 1942","80 años","Francisco","27/08/2022","Arzobispo emérito de Cartagena (Colombia)"
"18",18,"Arrigo Miglio","Italia Italia","18 de julio de 1942","80 años","Francisco","27/08/2022","Arzobispo emérito de Cagliari (Italia)"
"19",19,"Gianfranco Ghirlanda, S.I.","Italia Italia","5 de julio de 1942","80 años","Francisco","27/08/2022","Profesor de Teología
exrector de la Pontificia Universidad Gregoriana"
"20",20,"Fortunato Frezza","Italia Italia","6 de febrero de 1942","80 años","Francisco","27/08/2022","Canónico de San Pedro
Subsecretario emérito del Sínodo de los Obispos"
